"SimID","LookID","Delta1","Delta2","Delta3","StdError1","StdError2","StdError3","TestStat1","TestStat2","TestStat3","RawPvalues1","RawPvalues2","RawPvalues3","RejStatus1","RejStatus2","RejStatus3"
309,1,0.310026894709596,0.348228273257986,0.550633830215379,0.213315742723932,0.217606695782365,0.20084394782442,1.45337090807604,1.60026451394795,2.74160031297905,0.0730603996603979,0.0547699577998275,0.00305703442380068,FALSE,FALSE,TRUE
310,1,0.174015832779003,0.226142216160548,0.453456489903369,0.19120547000317,0.216324923858983,0.221686781189118,0.910098611593684,1.04538215997693,2.04548276388447,0.181385253360433,0.147923189311205,0.0204036433890603,FALSE,FALSE,FALSE
311,1,0.43606799677895,0.547625819148484,0.448413714863014,0.219841885003421,0.202217226842912,0.194819146194544,1.98355284650222,2.70810666182212,2.30169222903396,0.0236528551287407,0.00338341354775151,0.0106762673740405,TRUE,TRUE,TRUE
312,1,0.408433936896276,0.19974726156967,0.39415541810852,0.183342101917617,0.197176485128554,0.195731173799921,2.22771492540104,1.01303794638311,2.01375902701851,0.012949765542436,0.155521018083071,0.0220174197018822,FALSE,FALSE,FALSE
313,1,0.476171174831982,0.27414835092495,0.795776601091875,0.200672043927088,0.183597189091828,0.193938667549718,2.37288246789869,1.49320560015672,4.10323846784124,0.00882493961135089,0.0676916883258627,2.03703470426086e-05,TRUE,FALSE,TRUE
314,1,0.102611561169571,0.189659136386346,0.354383289127802,0.21227587751486,0.210898289188608,0.199191079425958,0.483387761110009,0.899291962566525,1.77911224814428,0.314410218314172,0.184248583688065,0.0376106805241768,FALSE,FALSE,FALSE
315,1,0.416268688332429,0.58402273995728,0.698580455159654,0.212884960782888,0.22980466340871,0.209928702114289,1.95536916652823,2.54138767810203,3.32770339702921,0.0252697563586601,0.00552067082270469,0.000437825205176878,FALSE,TRUE,TRUE
316,1,0.419590382029731,0.368816858379426,0.71723945870528,0.225873255024903,0.208951343684272,0.205241482505209,1.85763640756614,1.76508488472183,3.49461254104456,0.0316103323548617,0.0387747503110945,0.000237375204484636,FALSE,FALSE,TRUE
317,1,0.153799161423105,0.498639604175651,0.669421042368844,0.193034096551962,0.196534598726333,0.198682714555907,0.796746088749688,2.53715939792356,3.36929684026678,0.212799255479191,0.00558780283991789,0.000376801112838554,FALSE,TRUE,TRUE
318,1,0.363979460643382,0.559460004560338,0.266787810226645,0.154887882928137,0.194621912323123,0.178861535757802,2.34995439128222,2.8745992570019,1.49158850222501,0.0093878557671534,0.00202270296939988,0.0679035271120523,TRUE,TRUE,FALSE
