Sim_Index,Return_Code,Mean_0_Endpoint1,Mean_1_Endpoint1,Delta_1_Endpoint1,StdError_1_Endpoint1,Test_Stat_1_Endpoint1,pval_1_Endpoint1,Prop_0_Endpoint2,Prop_1_Endpoint2,Delta_1_Endpoint2,StdError_1_Endpoint2,Test_Stat_1_Endpoint2,pval_1_Endpoint2,Mean_0_Endpoint3,Mean_1_Endpoint3,Delta_1_Endpoint3,StdError_1_Endpoint3,Test_Stat_1_Endpoint3,pval_1_Endpoint3,Adjpval_1,Adjpval_2,Adjpval_3,Adjpval,SampleSize_0,SampleSize_1,Tot_SampleSize,RejFlag_1_Endpoint1,RejFlag_1_Endpoint2,RejFlag_1_Endpoint3,IsNonNull_1_Endpoint1,IsNonNull_1_Endpoint2,IsNonNull_1_Endpoint3,FWERFlag,DisjnPowFlag,ConPowFlag
874,0,-0.0166241229403125,0.000840950919482122,0.0174650738597946,0.0111796993433615,1.56221319763535,0.0607306882798138,0.1,0.38,0.28,0.0854166260162505,3.27805034053593,0.000522633763679337,-0.00723264724973821,0.0116054922946687,0.0188381395444069,0.00956648158501228,1.96918160318423,0.0258780502067023,0.0607306882798138,0.00156790129103801,0.0517561004134047,0.0607306882798138,50,50,100,0,1,0,1,1,1,0,0,1
875,0,-0.000757939504749239,0.0161888615188374,0.0169468010235866,0.0128098810466043,1.32294757163876,0.0944657228629476,0.12,0.38,0.26,0.0866025403784439,3.00222139978605,0.00134008586403422,-0.00798901634740926,0.0100391967105996,0.0180282130580088,0.00925058933065048,1.94887184087558,0.0270851001200374,0.0944657228629477,0.00402025759210268,0.0541702002400749,0.0944657228629477,50,50,100,0,1,0,1,1,1,0,0,1
876,0,0.0135927956348241,0.00894464912753284,-0.00464814650729124,0.0114283564109019,-0.406720471445677,0.65744990207987,0.28,0.38,0.1,0.09404254356407,1.06334852514778,0.143811963482238,0.00773372046512218,0.00653459339455091,-0.00119912707057128,0.0102180159320386,-0.117354198559371,0.546590221551472,1,0.431435890446715,1,1,50,50,100,0,0,0,1,1,1,0,0,0
877,0,-0.000984623021389191,0.00740588986390429,0.00839051288529348,0.011950345451227,0.70211467271283,0.242135951463146,0.26,0.4,0.14,0.09404254356407,1.4886879352069,0.0682847817372672,0.00840425931902558,0.00801484681220279,-0.000389412506822786,0.0103722584920313,-0.0375436561981135,0.514936047958588,0.484271902926294,0.204854345211802,0.514936047958588,0.514936047958588,50,50,100,0,0,0,1,1,1,0,0,0
878,0,-0.0113520799814855,-0.00218043673368988,0.00917164324779563,0.00964927488047717,0.950500774555827,0.172098062969582,0.26,0.36,0.1,0.0924986486387774,1.08109687516103,0.139827011644709,-0.00328083980256712,0.0135785044589719,0.0168593442615391,0.0101674340140268,1.65817100344888,0.0502402904186305,0.279654023289418,0.279654023289418,0.150720871255892,0.279654023289418,50,50,100,0,0,0,1,1,1,0,0,0
879,0,-0.00708049525922492,0.00893060005296783,0.0160110953121928,0.010776788162268,1.48570196157805,0.0702839408891798,0.12,0.46,0.34,0.0907524104363074,3.74645696313071,8.9674878014256E-05,-0.00780838658892524,0.0205382676598928,0.0283466542488181,0.0097173066960322,2.91713075809295,0.00219013946206259,0.0702839408891799,0.00026902463404277,0.00438027892412519,0.0702839408891799,50,50,100,0,1,1,1,1,1,0,0,1
880,0,0.00303174281275619,0.0178225904998882,0.0147908476871321,0.0126391712381234,1.17023872914377,0.122371449905057,0.34,0.38,0.04,0.096,0.416666666666666,0.33846111951069,0.000450403212516832,0.0184190886977505,0.0179686854852337,0.0102014336621129,1.76138825976662,0.0406457803107971,0.244742899810114,0.33846111951069,0.121937340932392,0.33846111951069,50,50,100,0,0,0,1,1,1,0,0,0
881,0,0.0105166575464796,-0.00769856222428671,-0.0182152197707663,0.0111733526021802,-1.63023762153645,0.946869336366536,0.3,0.3,0,0.0916515138991168,0,0.5,-0.0130989092362841,0.00987511371985333,0.0229740229561374,0.00895088553779477,2.56667598520063,0.00589034988228798,1,1,0.017671049646864,1,50,50,100,0,0,1,1,1,1,0,0,1
882,0,-0.00561882475567982,0.00988498274288866,0.0155038074985685,0.0116624363696556,1.32937981457354,0.0934045402872943,0.18,0.44,0.26,0.0924986486387774,2.81085187541867,0.00247052637450829,-0.00689978968371285,0.0196071808520299,0.0265069705357428,0.0104547055415873,2.53541053167896,0.00640650579810864,0.0934045402872944,0.00741157912352487,0.0128130115962173,0.0934045402872944,50,50,100,0,1,1,1,1,1,0,0,1
883,0,0.00615978226991007,0.00197930812093778,-0.00418047414897229,0.0113705847442502,-0.367656918531498,0.643039049442365,0.26,0.52,0.26,0.0975499871860576,2.66530019634037,0.00384598124603608,0.0133188660068594,0.0122005229262428,-0.00111834308061658,0.00981467055888553,-0.11394606409933,0.545243167780162,1,0.0115379437381082,1,1,50,50,100,0,1,0,1,1,1,0,0,1
